num_trips,selection,runs,avg_total_time,std_total_time,avg_rmp_time,avg_pp_time,avg_selection_time,avg_iterations,avg_final_columns,avg_objective,avg_buses,avg_columns_generated,avg_columns_selected
40,gnn,2,8.454299330711365,7.213772654533386,0.7147843837738037,7.467558145523071,0.15543830394744873,76.5,303.0,2644210.889717425,10.346153846153847,745.0,223.0
40,milp,2,18.626505970954895,1.826623558998108,1.8311408758163452,11.971632957458496,4.678016543388367,139.5,734.5,1630833.095,8.42,1171.0,654.5
40,no_selection,2,16.732950925827026,0.1826467514038086,3.2057301998138428,13.354652762413025,0.0045059919357299805,159.0,1155.0,1629481.875,8.4375,1075.0,1075.0
80,gnn,2,13.043723821640015,0.48504066467285156,0.16554415225982666,12.138171315193176,0.0950021743774414,18.5,216.5,8202598.43452381,24.5,218.5,56.5
80,milp,2,225.45768690109253,49.24321007728577,16.486107110977173,164.00770807266235,44.519556164741516,258.0,1675.5,2888515.940627974,14.04919770886155,2977.0,1515.5
80,no_selection,2,221.52171897888184,5.78092360496521,32.87692439556122,188.5607044696808,0.009765863418579102,300.0,3302.5,2871258.916666667,14.0,3155.0,3142.5
