epoch,elapsed,train_loss,val_loss,train_recall,train_tnr,train_precision,train_balanced_accuracy,val_recall,val_tnr,val_precision,val_balanced_accuracy
1,1.9085056781768799,1.581958443968949,1.4251424182152403,1.0,0.00017262212350033224,0.19038300216197968,0.5000863075256348,0.9932432174682617,0.04377279803156853,0.19376099109649658,0.5185080170631409
2,1.8230655193328857,1.3331116456246348,1.3014066189095594,0.8964757919311523,0.4355256259441376,0.27187708020210266,0.6660007238388062,0.8716216087341309,0.5237102508544922,0.29746347665786743,0.6976659297943115
3,1.851313591003418,1.2722457904319209,1.2774961341334425,0.8751835823059082,0.5446228384971619,0.31122714281082153,0.7099032402038574,0.957207202911377,0.34184470772743225,0.2517772614955902,0.6495259404182434
4,1.8376491069793701,1.218927589673167,1.2454609991847605,0.8781204223632812,0.589504599571228,0.3346390724182129,0.7338125109672546,0.8040540814399719,0.7326732873916626,0.41034483909606934,0.7683637142181396
5,1.9067072868347168,1.1795906543021681,1.216554734154024,0.8832598924636841,0.5831175446510315,0.33250415325164795,0.7331887483596802,0.837837815284729,0.6836894154548645,0.37997958064079285,0.7607636451721191
6,1.8432767391204834,1.1596533561055744,1.147278033574854,0.8869310021400452,0.6095287203788757,0.3481267988681793,0.7482298612594604,0.8671171069145203,0.6524231433868408,0.36596956849098206,0.7597701549530029
7,1.8743243217468262,1.1291106896670433,1.1366045802453721,0.8942731022834778,0.5981357097625732,0.34348562359809875,0.7462043762207031,0.8716216087341309,0.632621169090271,0.3543955981731415,0.7521213889122009
8,1.8373730182647705,1.120408415345001,1.236748109018241,0.8883994221687317,0.6179872155189514,0.3534910976886749,0.7531933188438416,0.7882882952690125,0.7691506147384644,0.4413619041442871,0.778719425201416
9,1.8510832786560059,1.124659568347729,1.1114867253741925,0.8898678421974182,0.6015881299972534,0.3443181812763214,0.7457280158996582,0.9144144058227539,0.5732151865959167,0.33142855763435364,0.7438148260116577
10,1.8348536491394043,1.1031360070988427,1.1614823950643556,0.8972100019454956,0.6109097003936768,0.3515534996986389,0.7540598511695862,0.8468468189239502,0.6748306155204773,0.37599998712539673,0.7608387470245361
11,1.8664531707763672,1.080620089372838,1.1162037654118477,0.8906020522117615,0.6212670207023621,0.3560316860675812,0.7559345364570618,0.8851351141929626,0.6321000456809998,0.35759782791137695,0.7586175799369812
12,1.8403394222259521,1.0773604963024217,1.1757706175760732,0.903817892074585,0.6160883903503418,0.35629522800445557,0.7599531412124634,0.8310810923576355,0.6951537132263184,0.38679245114326477,0.7631174325942993
13,1.8315422534942627,1.0795928666219834,1.0873616949749598,0.9008810520172119,0.6255825757980347,0.36130741238594055,0.7632318139076233,0.8941441178321838,0.6143825054168701,0.3491644561290741,0.7542632818222046
14,1.8515257835388184,1.0906206939293046,1.137356351737095,0.9060205817222595,0.606939435005188,0.3514668047428131,0.7564799785614014,0.9662162065505981,0.42991140484809875,0.2816808819770813,0.6980637907981873
15,1.8341906070709229,1.0643630379527824,1.0874202986976698,0.9023494720458984,0.6262730956077576,0.36210960149765015,0.7643113136291504,0.8761261105537415,0.6800416707992554,0.3878364861011505,0.7780839204788208
16,1.8410868644714355,1.0469449395167814,1.1096105793848687,0.9045521020889282,0.6471603512763977,0.3760683834552765,0.7758562564849854,0.8513513803482056,0.6920270919799805,0.3900928795337677,0.771689236164093
17,1.814058780670166,1.0385248038841386,1.0908684471885308,0.9067547917366028,0.6333506107330322,0.3676689565181732,0.7700526714324951,0.8648648858070374,0.6784783601760864,0.3836163878440857,0.7716716527938843
18,1.795081615447998,1.0250213466212827,1.081970582810649,0.903817892074585,0.6374935507774353,0.3695586919784546,0.7706557512283325,0.9144144058227539,0.5893694758415222,0.34003350138664246,0.7518919706344604
19,1.8532161712646484,1.0479343752539632,1.0870445204368941,0.9118942618370056,0.6148800253868103,0.3576158881187439,0.763387143611908,0.8738738894462585,0.6941115260124207,0.3979487121105194,0.7839927077293396
20,1.8143959045410156,1.033870661352616,1.0510055357084165,0.9126284718513489,0.625755250453949,0.36440926790237427,0.7691918611526489,0.9054054021835327,0.6315789222717285,0.362488716840744,0.7684921622276306
21,1.8280730247497559,1.011681703154101,1.072913093286553,0.9030836820602417,0.6557914614677429,0.38151365518569946,0.7794375419616699,0.9054054021835327,0.6133402585983276,0.3513985872268677,0.7593728303909302
22,1.809070348739624,1.0033057012625568,1.0836598457485114,0.9089574217796326,0.6466425061225891,0.3768645226955414,0.7777999639511108,0.8986486196517944,0.6586763858795166,0.37855786085128784,0.7786625027656555
23,1.8398168087005615,0.9940378307409818,1.137642441669743,0.91629958152771,0.6506128311157227,0.3814180791378021,0.7834562063217163,0.8423423171043396,0.7352787852287292,0.42403629422187805,0.7888105511665344
24,1.8320589065551758,0.9772922807704237,1.080000068428226,0.9133626818656921,0.6668393015861511,0.39193445444107056,0.7901009917259216,0.869369387626648,0.6883793473243713,0.39227643609046936,0.778874397277832
25,1.8419990539550781,0.9781413998531202,1.1032431580774162,0.9170337915420532,0.6438805460929871,0.3771135210990906,0.7804571390151978,0.8828828930854797,0.6378322243690491,0.36062556505203247,0.7603575587272644
26,1.8160934448242188,0.9836255678285218,1.1038968930365956,0.9126284718513489,0.658898651599884,0.386144757270813,0.7857635617256165,0.8671171069145203,0.6842105388641357,0.388496458530426,0.7756638526916504
27,1.8207287788391113,0.9597200414545574,1.062933091742351,0.9170337915420532,0.6564819812774658,0.3856128454208374,0.7867578864097595,0.8918918967247009,0.6492965221405029,0.37043964862823486,0.7705942392349243
28,1.780066728591919,0.9664272622923206,1.0859015485545134,0.9170337915420532,0.6582081913948059,0.38680705428123474,0.787621021270752,0.9054054021835327,0.6211568713188171,0.35606732964515686,0.7632811069488525
29,1.81785249710083,0.9972099629576252,1.1865694654904697,0.9104258418083191,0.6488865613937378,0.378741592168808,0.779656171798706,0.8355855941772461,0.7337154746055603,0.420634925365448,0.7846505641937256
30,1.898108959197998,0.9921830800503484,1.1050003588887563,0.919236421585083,0.6530295014381409,0.38381361961364746,0.7861329317092896,0.957207202911377,0.4742053151130676,0.29637378454208374,0.7157062292098999
31,1.8457081317901611,0.9834572104860739,1.0681173089162812,0.9096916317939758,0.6607975363731384,0.38670411705970764,0.7852445840835571,0.9234234094619751,0.5971860289573669,0.3465765118598938,0.7603046894073486
32,1.83205246925354,0.9379821486976624,1.0929968756029573,0.9199706315994263,0.6687381267547607,0.39501890540122986,0.7943543791770935,0.9144144058227539,0.6268889904022217,0.36185383796691895,0.7706516981124878
33,1.8437168598175049,0.9445213494081341,1.2196469055404346,0.9214390516281128,0.6578629612922668,0.38770467042922974,0.7896510362625122,0.7860360145568848,0.7847837209701538,0.45800524950027466,0.7854098677635193
34,1.9584167003631592,0.9939578428671881,1.0688478028880681,0.8994126319885254,0.656136691570282,0.38078954815864563,0.7777746915817261,0.9459459185600281,0.5231891870498657,0.31460675597190857,0.7345675230026245
35,1.8309392929077148,0.9645274947704248,1.0732539915884642,0.91629958152771,0.6526842713356018,0.38282209634780884,0.7844918966293335,0.9414414167404175,0.5330901741981506,0.31811264157295227,0.7372658252716064
36,1.8506033420562744,0.9515439388920768,1.1055320418613586,0.9236416816711426,0.6518211364746094,0.3841221332550049,0.787731409072876,0.8716216087341309,0.6894215941429138,0.3936927914619446,0.7805216312408447
37,1.8460893630981445,0.9147113684633357,1.0770418387948166,0.9177680015563965,0.6771966218948364,0.4006410241127014,0.7974823117256165,0.9031531810760498,0.6352266669273376,0.36421436071395874,0.7691899538040161
38,1.8365483283996582,0.9384918151553653,1.1034566724241417,0.9258443713188171,0.6452615261077881,0.38027745485305786,0.785552978515625,0.8896396160125732,0.6341844797134399,0.36007294058799744,0.7619120478630066
39,1.806074857711792,0.9489339084118162,1.0998504989901963,0.9280470013618469,0.662351131439209,0.3925465941429138,0.7951990365982056,0.8828828930854797,0.6571130752563477,0.3733333349227905,0.7699979543685913
40,1.8011009693145752,0.9243874729195872,1.1259732410865093,0.9177680015563965,0.6835836172103882,0.405449241399765,0.8006758093833923,0.8558558821678162,0.7113080024719238,0.40685224533081055,0.7835819721221924
41,1.8645203113555908,0.9143443547390189,1.1657153481838591,0.9243758916854858,0.6625237464904785,0.39172372221946716,0.7934498190879822,0.8400900959968567,0.7331943511962891,0.42146891355514526,0.7866421937942505
42,1.8491060733795166,0.931254327551042,1.0888019112534348,0.9214390516281128,0.6683928966522217,0.39515113830566406,0.7949159741401672,0.8941441178321838,0.6586763858795166,0.3773764371871948,0.7764102220535278
43,1.861386775970459,0.9029299088581876,1.2099078268949992,0.9287812113761902,0.6677023768424988,0.3965517282485962,0.7982417941093445,0.8288288116455078,0.7519541382789612,0.4360189437866211,0.7903914451599121
44,1.853637456893921,0.9065107764364743,1.1316572175226238,0.93098384141922,0.6690833568572998,0.39811617136001587,0.8000335693359375,0.9144144058227539,0.6378322243690491,0.36875566840171814,0.7761232852935791
45,1.834059476852417,0.8951483358068667,1.1575259240667894,0.9273127913475037,0.6785776019096375,0.4041599929332733,0.8029451966285706,0.8671171069145203,0.6711829304695129,0.3789370059967041,0.7691500186920166
46,1.8236472606658936,0.8937520666283991,1.1457838059237686,0.9317180514335632,0.6728810667991638,0.4010745882987976,0.8022995591163635,0.9009009003639221,0.6706618070602417,0.38759690523147583,0.7857813835144043
47,1.8960931301116943,0.8792592411833019,1.1268792325625827,0.9295154213905334,0.6915242671966553,0.4146741032600403,0.810519814491272,0.912162184715271,0.6055237054824829,0.34853699803352356,0.758842945098877
48,1.8658461570739746,0.9109652946673474,1.1743808153937014,0.9287812113761902,0.6687381267547607,0.39729899168014526,0.7987596988677979,0.8513513803482056,0.7180823087692261,0.4113166630268097,0.7847168445587158
49,1.8963062763214111,0.8880965196020735,1.3255384925669362,0.9295154213905334,0.6668393015861511,0.3961201608181,0.7981773614883423,0.8288288116455078,0.7248566746711731,0.4107142984867096,0.7768427133560181
50,1.8748164176940918,0.8636564122726844,1.263636637770877,0.9375917911529541,0.6735715270042419,0.4030934274196625,0.8055816888809204,0.8716216087341309,0.7097446322441101,0.409957617521286,0.7906831502914429
51,1.8211538791656494,0.8733307755815817,1.3659332367061152,0.933920681476593,0.6828931570053101,0.40913477540016174,0.8084069490432739,0.8175675868988037,0.726419985294342,0.40878379344940186,0.7719937562942505
52,1.8190484046936035,0.910889259548848,1.1288268818506617,0.9280470013618469,0.6699464917182922,0.39798489212989807,0.7989967465400696,0.9189189076423645,0.5164148211479187,0.3053892254829407,0.7176668643951416
53,1.8120720386505127,0.8785217406568099,1.1488820273696363,0.9295154213905334,0.6645951867103577,0.39451542496681213,0.7970553040504456,0.869369387626648,0.7159979343414307,0.4146079421043396,0.7926836609840393
54,1.8310725688934326,0.8464393860944721,1.136279478805492,0.9295154213905334,0.6941136121749878,0.41672152280807495,0.811814546585083,0.9279279112815857,0.5695675015449524,0.33279484510421753,0.748747706413269
55,1.805060625076294,0.9248075126434381,1.1602126361289318,0.9287812113761902,0.6533747911453247,0.38649556040763855,0.7910779714584351,0.9076576828956604,0.5977071523666382,0.34297871589660645,0.7526824474334717
56,1.8320610523223877,0.8588711179077256,1.1940860789033847,0.93098384141922,0.679785966873169,0.4060198664665222,0.8053848743438721,0.8626126050949097,0.6977592706680298,0.3977154791355133,0.7801859378814697
57,1.8412423133850098,0.8498160583332006,1.2480075108653472,0.9353891611099243,0.6820300221443176,0.408857524394989,0.8087096214294434,0.9009009003639221,0.6159458160400391,0.3518030047416687,0.7584233283996582
58,1.8494253158569336,0.8694981994460723,1.1139264256746886,0.9441996812820435,0.657517671585083,0.39327216148376465,0.8008586764335632,0.934684693813324,0.5784262418746948,0.33905228972435,0.756555438041687
59,1.8105289936065674,0.9200800360462418,1.1936066008258976,0.9397944211959839,0.6504402160644531,0.38729196786880493,0.7951173186302185,0.8963963985443115,0.6399165987968445,0.3654729127883911,0.7681565284729004
60,1.8526241779327393,0.8326531363924571,1.2257878529942132,0.9361233711242676,0.6960124373435974,0.41996046900749207,0.8160679340362549,0.8671171069145203,0.6659718751907349,0.3752436637878418,0.7665444612503052
61,1.8785521984100342,0.8242901344914992,1.2450507936100357,0.9449338912963867,0.6904885172843933,0.4178571403026581,0.8177112340927124,0.8783783912658691,0.6675351858139038,0.37937742471694946,0.7729567885398865
62,1.894057035446167,0.8359044468993428,1.28949025162022,0.9434654712677002,0.677369236946106,0.4074191451072693,0.8104173541069031,0.8536036014556885,0.6842105388641357,0.38477158546447754,0.7689070701599121
63,1.8833928108215332,0.8110340077640206,1.28165776274113,0.9368575811386108,0.7005006074905396,0.4237794876098633,0.8186790943145752,0.8738738894462585,0.6826472282409668,0.3891674876213074,0.7782605886459351
64,1.8473496437072754,0.8302378902780803,1.2338708027607745,0.9434654712677002,0.6768513917922974,0.40703198313713074,0.8101584315299988,0.8851351141929626,0.6472120881080627,0.3672897219657898,0.7661736011505127
65,1.8435547351837158,0.8219635264599098,1.2166088159790467,0.9441996812820435,0.6896253824234009,0.41699090600013733,0.8169125318527222,0.8851351141929626,0.6284523010253906,0.3553345501422882,0.756793737411499
66,1.972238540649414,0.8188474392082189,1.3536739177036814,0.9478707909584045,0.6875539422035217,0.41631731390953064,0.8177123665809631,0.8558558821678162,0.7201667428016663,0.4143947660923004,0.7880113124847412
67,1.906428337097168,0.7965799908801157,1.308275789241779,0.9486050009727478,0.6991196274757385,0.4257001578807831,0.8238623142242432,0.880630612373352,0.6555497646331787,0.37167301774024963,0.7680901885032654
68,1.8446245193481445,0.799648536881463,1.368334275864544,0.9522760510444641,0.6897980570793152,0.4191984534263611,0.8210370540618896,0.8716216087341309,0.6414799094200134,0.36000001430511475,0.7565507888793945
69,1.8635971546173096,0.8317536037368852,1.2417900426133808,0.9530102610588074,0.6628689765930176,0.3992617726325989,0.8079396486282349,0.8986486196517944,0.5992704629898071,0.3416095972061157,0.7489595413208008
70,1.9084277153015137,0.7825081820735236,1.7888362566487601,0.9566813707351685,0.6973934173583984,0.4263743460178375,0.8270373940467834,0.8175675868988037,0.7378843426704407,0.4191685914993286,0.7777259349822998
71,1.9089059829711914,0.7795979852784648,1.321688232471303,0.9515418410301208,0.6929052472114563,0.42146340012550354,0.8222235441207886,0.880630612373352,0.6659718751907349,0.3788759708404541,0.7733012437820435
72,1.8889679908752441,0.7855703884032529,1.553137795013792,0.9552129507064819,0.681512176990509,0.4135410189628601,0.8183625936508179,0.8716216087341309,0.6519020199775696,0.3668246567249298,0.7617617845535278
73,1.8565292358398438,0.757002657097317,1.5125577568029318,0.9552129507064819,0.7056792974472046,0.4328010678291321,0.8304461240768433,0.8918918967247009,0.6654507517814636,0.3815028965473175,0.7786713242530823
74,1.8735439777374268,0.8267796740695537,1.3948553945716398,0.9566813707351685,0.6628689765930176,0.4001842737197876,0.809775173664093,0.8716216087341309,0.6868160367012024,0.39170041680336,0.7792187929153442
75,1.9216053485870361,0.7558574683411987,1.4994534217553008,0.961086630821228,0.7072328925132751,0.43560731410980225,0.8341597318649292,0.8513513803482056,0.661281943321228,0.36770427227020264,0.7563166618347168
76,1.897953987121582,0.8110734728833284,1.3889818621053702,0.9544786810874939,0.6752977967262268,0.40867650508880615,0.8148882389068604,0.8761261105537415,0.6701406836509705,0.38062623143196106,0.773133397102356
77,1.9363293647766113,0.8007232940950796,1.281515959166796,0.9493392109870911,0.682547926902771,0.4128352403640747,0.8159435987472534,0.8873873949050903,0.6357477903366089,0.3604757487773895,0.7615675926208496
78,1.9459526538848877,0.8132036844437588,1.39336403047001,0.9500734210014343,0.6778870820999146,0.40949368476867676,0.813980221748352,0.8581081032752991,0.7055758237838745,0.4027484059333801,0.7818419933319092
79,2.097360849380493,0.7688293861525431,1.4899904296471504,0.9552129507064819,0.7110305428504944,0.43731093406677246,0.8331217765808105,0.8423423171043396,0.7097446322441101,0.4017185866832733,0.7760434746742249
80,2.1369900703430176,0.7941347423993286,1.2917564808408841,0.9530102610588074,0.6882444620132446,0.41817009449005127,0.8206273317337036,0.8738738894462585,0.6430432796478271,0.3616029918193817,0.7584586143493652
81,2.2586910724639893,0.7591301728077167,1.3695258870562954,0.9552129507064819,0.7049887776374817,0.43222591280937195,0.8301008939743042,0.8963963985443115,0.6227201819419861,0.35472372174263,0.7595583200454712
82,2.1062443256378174,0.7188185276027597,1.739094752556851,0.9640234708786011,0.7251855731010437,0.4519793391227722,0.8446044921875,0.8265765905380249,0.7212089896202087,0.4068736135959625,0.7738927602767944
83,2.0266313552856445,0.712541128055812,1.6871629670106272,0.9669603705406189,0.7206974029541016,0.44872230291366577,0.8438289165496826,0.837837815284729,0.6451276540756226,0.3532763421535492,0.7414827346801758
84,1.966235876083374,0.8090667192522523,1.715161152959052,0.9603524208068848,0.6728810667991638,0.4083671569824219,0.8166167736053467,0.8536036014556885,0.726419985294342,0.4192477762699127,0.7900117635726929
85,2.0776190757751465,0.7731712005886501,1.5165007430043056,0.9552129507064819,0.6986017823219299,0.42697736620903015,0.8269073963165283,0.8490990996360779,0.6894215941429138,0.38746145367622375,0.7692603468894958
86,2.038640022277832,0.7306365679816011,1.4787381969200806,0.9669603705406189,0.713965117931366,0.4428379237651825,0.8404627442359924,0.880630612373352,0.5846795439720154,0.3291245698928833,0.7326550483703613
87,1.857243537902832,0.8300560370761462,1.357355594000679,0.9574155807495117,0.6445710062980652,0.387749046087265,0.8009933233261108,0.880630612373352,0.632621169090271,0.35675182938575745,0.7566258907318115
88,1.869462490081787,0.736947269542941,1.6131406507720443,0.961086630821228,0.7027446627616882,0.4318706691265106,0.8319156169891357,0.8490990996360779,0.6878582835197449,0.3862704932689667,0.7684786915779114
89,1.8647613525390625,0.7058970602864679,1.9469482569334566,0.9720998406410217,0.7212152481079102,0.45049336552619934,0.8466575145721436,0.8400900959968567,0.7045336365699768,0.3968085050582886,0.7723118662834167
90,1.8888797760009766,0.6960096489877485,1.4986834322275666,0.9743024706840515,0.7148282527923584,0.4454514980316162,0.8445653915405273,0.8783783912658691,0.6383532881736755,0.35977858304977417,0.7583658695220947
91,2.0734426975250244,0.7750216701769461,1.5529266667326211,0.9735682606697083,0.6841015219688416,0.42015209794044495,0.8288348913192749,0.8671171069145203,0.6623241305351257,0.37270087003707886,0.764720618724823
92,2.0877866744995117,0.7362769370419145,1.7911579941552664,0.961086630821228,0.7051613926887512,0.4338746964931488,0.833124041557312,0.8581081032752991,0.7003647685050964,0.3985355794429779,0.7792364358901978
93,1.9950294494628906,0.6568545401457508,1.9616678553738103,0.9720998406410217,0.7446918487548828,0.4723510444164276,0.8583958148956299,0.8626126050949097,0.662845253944397,0.37184464931488037,0.7627289295196533
94,1.9397196769714355,0.8416692545958369,1.4807409849689699,0.9676945805549622,0.6488865613937378,0.3931981027126312,0.8082906007766724,0.8738738894462585,0.6581552624702454,0.37164750695228577,0.766014575958252
95,1.9715683460235596,0.7259164203856595,1.5278377550695035,0.9632892608642578,0.733126163482666,0.45906227827072144,0.8482077121734619,0.8671171069145203,0.7019280791282654,0.40229883790016174,0.7845225930213928
